序号,题型,题干,答案选项A,答案选项B,答案选项C,答案选项D,试题（选项E）,正确答案
1,单选,职业道德是从事一定职业的人们在职业活动过程中所应遵循的（    ）和行为规范的总和。,道德原则,政治义务,职业守则,立法制约,,A
2,单选,职业道德是一种内在的（    ）的约束机制。,强制性,非强制性,随意性,自发性,,B
3,单选,下列选项中，属于新的职业道德观念的核心理念是（    ）。,尽忠职守,服务意识,公德意识,劳动技术,,B
4,单选,职业道德的（    ）特征反映各行各业的职业特点，鲜明地表达着职业义务、责任以及行为上的道德准则。,鲜明职业性,内容多样性,相对稳定性,较强适应性,,A
5,单选,《公民道德建设实施纲要》明确提出，要大力提倡以（    ），为主要内容的职业道浴, 爱国守法、明礼诚信、团结友善、勤俭自强、敬业奉献,爱祖国、爱人民、爱劳动、爱科学、爱社会主义,爱岗敬业、诚实守信、办事公道、群众服务、奉献社会,尊老爱幼、反对迷信、不随地吐痰、不乱扔垃圾,,C
6,单选,下列选项中，不属于职业道德具有的特征是（    ）。,范围的有限性,内容的稳定性和连续性,行业的多样性,形式的多样性,,C
7,单选,职业道德在企业文化中占据重要地位，而职工是企业的主体，因此企业文化必须以（    ）为中介。,企业环境,企业职工,企业作风,企业环境,,B
8,单选,增强职业道德，可以（    ）增强企业内部凝聚力。,协调员工之间的关系,增加员工福利,为员工创造发展空间,调节企业与社会的关系,,A
9,单选,职业道德不能通过（    ）的关系，增强企业的凝聚力。,协调企业职工间,调节领导与职工,协调职工与企业,调节企业与市场,,D
10,单选,职工道德修养是指（    ）在道德的意识、道德行为方面的自我锻炼、自我改造和自我提高。,劳动保障协理员,失业人员,从业人员,退休人员,,C
11,单选,提高职工道德修养的前提是（    ）。,确立正确的人生观,学习先进人物的优良品质,培养自己良好的行为习惯,同旧思想、旧意识及不良现象作斗争,,A
12,单选,下列关于职业道德的说法中，正确的是（    ）。,职业道德与人格无关,职业道德的养成只能靠教化,职业道德只能靠制度规约,职业道德从一个侧面反映人的整体道德素质,,D
13,单选,爱岗敬业是人类社会最为普通的（    ）精神，它看似平凡，实则伟大。,艰苦奋斗,无畏,刻苦,奉献,,D
14,单选,朱熹指出的“专心致志，以事其业”说的是（    ）。,敬业精神, 奉献精神,公仆意识,意志品质,,A
15,单选,以下不是爱岗敬业的具体要求是（    ）。,树立职业理想,强化职业责任, 提高职业技能,不择手段升职,,D
16,单选,团结进取的基本要求不包括（    ）。,加强协作,顾全大局,平等尊重,保护环境,,D
17,单选,下列关于团结互助、加强协作，正确的表述是（    ）。,正确看待道德与法治,正确处理竞争与合作的关系,正确处理主要矛盾与次要矛盾的关系, 正确处理国家集体与个体的关系,,B
18,单选,在下列选项中，符合办事公道规范的有（    ）。,顾全大局、服从上级,秉公执法，不徇私情,知人善任、培养亲信,公私不分，一切平等,,B
19,单选,下列符合遵纪守法要求的做法不包括（    ）。,遵守法律法规,遵守行为规范,遵守所在机构的规章制度,在楼下没人的时候可以高空抛物,,D
20,单选,关于道德与法律的区别，表述不正确的是（    ）。,道德的表现形式不如法律严格,道德的调整范围比法律广,法律由国家强制力保障实施,道德产生时间比法律早，有阶级的社会才有道德规范,,D
21,单选,职业纪律是最明确的职业规范，它以（    ）的方式规定职业活动中对从业人员的基本要求。,自律,办法,道德规范,习俗,,C
22,单选,安全操作的基本要求不包括（    ）。,高度重视,严格检查,爱岗敬业,强化责任,,C
23,单选,生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的（    ）。,安全宣传标语,安全宣传挂图,安全警示标志,安全说明,,C
24,单选,以下不是安全生产检查的方式是（    ）。,经验检查法,常规检查,安全检查表法,仪器检查法,,A
25,单选,诚实守信的基本要求不包括（    ）。,保密守信,不搞虚假,忠于职守,积极进取,,D
26,单选,做人之本，立事之基，为政之根是（    ）。,服务群众,诚实守信,爱岗敬业,办事公道,,B
27,单选,下列论述中，属于“诚”的含义的是（    ）。,“诚”即为人要老实, “诚”就是尊重客观事实，忠于本心,诚实，必须忠于客观事情,是对“天谴”的真实反映,,B
28,单选,下列选项不属于工匠精神职业道德规范的是（    ）。,爱岗敬业,舍己为人,尊师重道,精进不已,,B
29,单选,诸葛亮的“鞠躬尽瘁，死而后己”，《淮南子》中的“公正无私，一言而万民齐”，范仲淹所说的“先天下之忧而忧，后天下之乐而乐”，体现了传统文明继承的职业道德精华，即（    ）。,积极进取精神,忠诚和奉献精神,勤俭节约精神,艰苦奋斗精神,,B
30,单选,“佛山陶瓷”不是体现工匠精神的典型特征是（    ）。,精益求精,品牌意识,不断创新,顾客为主,,D
31,单选,一台计算机的主机组成的部件不包含（    ）。,主板,中央处理器,内存,操作系统,,D
32,单选,显示器的（    ）指标越高，显示的图像越清晰。,对比度,分辨率,刷新频率,亮度,,B
33,单选,一个完整的计算机系统是除了硬件系统，还包括（    ）组成。,操作系统,输入输出设备,中央处理器,软件系统,,D
34,单选,单处理机计算机系统中，（    ）是并行操作的。,处理机操作和通道操作,程序与程子程序,用户程序与操作系统程序,操作系统与软件系统,,A
35,单选,与计算机硬件关系最密切的软件的是（    ）。,编译程序,数据库管理程序,操作系统,软件系统,,C
36,单选,计算机网络的主要功能目的是实现计算机之间的资源共享，以下选项不属于资源共享的是（    ）。,网络资源共享,硬件资源共享,软件资源共享,数据资源贡献,,A
37,单选,网络传输介质中，抗干扰能力最强的是以下选项（    ）。,微波,光纤,双绞线,同轴电缆,,B
38,单选,以下属于是网关的基本功能（    ）。,信息安全,数据重新分组,解析数据包,简单指令计算,,C
39,单选,计算机安全所涵盖的内容从技术上不包括（    ）。,实体安全,系统安全,用电安全,信息安全,,C
40,单选,计算机杀毒软件可以（    ）。,消除已感染的所有病毒,发现并组织任何病毒入侵,杜绝对计算机的侵害,发现病毒入侵的某些迹象并及时清楚或提醒操作者,,D
41,单选,关于计算机病毒，以下选项是正确的描述（    ）。,计算机病毒是一种人为特制的具有破坏性的程序,计算机病毒可以烧毁计算机的电子元件,计算机病毒是一种传染力极强的生物细菌,计算机病毒一旦产生便无法清除,,A
42,单选,下列关于数据库的叙述中，正确的是（    ）。,数据库减少了数据冗余,数据库避免了数据冗余,数据库中的数据一致性是指数据类型一致,数据库系统比文件系统能够管理更多数据,,A
43,单选,视图是从一个或多个表中或视图中导出的（    ）。,表,查询,报表,数据,,A
44,单选,Oracle中，用于限制分组函数的返回值的子句是（    ）。,where,having,order by,select,,B
45,单选,下列关于Linux操作系统命令中，属于显示某年某月日历的是（    ）。,clear,cal,cat,make,,B
46,单选,Linux中权限最大的账户是（    ）。,admin,root,guest,super,,B
47,单选,计算机的主要性能指标有主频、字长、内存容量及其他指标，其中主频是指计算机CPU在单位时间内输出的（    ）。,字节数,脉冲数,位数,指令,,B
48,单选,下列硬件中，不用安装驱动程序即可工作的是（    ）。,显卡,声卡,硬盘,网卡,,C
49,单选,不属于计算机系统的软件故障（    ）。,系统故障,程序故障,病毒故障,人为破坏,,D
50,单选,键盘中CapsLock键的作用是（    ）。,用于取消前一时刻不当操作或退出某种状态,用于将光标向右跳过8个字节的位置,用于大小写字母转换,切换输入时插入、改写状态,,C
51,单选,运算器的组成部分不包括以下选项（    ）。,控制线路,译码器,加法器,寄存器,,B
52,单选,一个完整的微型计算机系统应包括软件系统和（    ）。,硬件系统,主箱,鼠标,显示器,,A
53,单选,WPS是一种（    ）软件。,文字处理,游戏,图形处理,工程设计,,A
54,单选,如果希望将幻灯片由横排变为竖排，需要更换（    ）。,版式,设计模版,背景,幻灯片切换,,A
55,单选,WPS表格的主要功能不包括（    ）。,电子表格,图表,数据库,计算器,,D
56,单选,微信支持发送语音短信、（    ）、图片和文字，是一种聊天软件。,输入输出设备,视频,硬盘,操作系统,,B
57,单选,以下选项不属于即时通讯软件（    ）。,钉钉,微信,Xmind,飞书,,C
58,单选,计算机病毒可以分为系统病毒、蠕虫病毒、木马病毒以及脚本病毒等，其中木马病毒的前缀是（    ）。,Trojian,Worm,Scrip,Backdoor,,A
59,单选,以下选项是对计算机病毒的正确表述（    ）。,细菌感染,生物病毒感染,被破坏的程序,特质的具有破坏性的程序,,D
60,单选,以下选项不属于计算机病毒特征（    ）。,潜伏性,传染性,激发性,免疫性,,D
61,单选, 智能体的核心特征是什么？（ ）                                               , 固定程序执行                 , 自主性、反应性、主动性和社会性 , 仅依赖预定义规则               , 无需环境交互                   ,               , B    
62,单选, 强化学习中，Q-learning属于哪种算法？（ ）                                    , 基于策略                     , 基于值函数                     , 基于模型                       , 混合型                         ,               , B    
63,单选, 在强化学习中，AI智能体通过什么方式优化其行为？（ ）                          , 模仿人类行为                 , 接收来自环境的奖励信号         , 预定义的规则                   , 随机尝试                       ,               , B    
64,单选,在提示词编写中，为什么建议让大模型扮演专家角色？（  ）,提升内容专业性和质量,减少输出内容长度,让模型更有创造性,降低模型计算资源消耗,,A
65,单选, 在AI中，过拟合和欠拟合分别指什么？（ ）                                      , 模型太复杂和模型太简单       , 模型太简单和模型太复杂         , 模型训练时间和模型预测时间     , 模型训练成本和模型预测成本     ,               , A    
66,单选,在提示词中加入属性词的直接好处是？（   ）,缩短内容,丰富语义、方便结构标记,增加模型随机性,降低内容可读性,,B
67,单选,编写高质量提示词时，以下哪项最不重要？（   ）,追求内容华丽,指定输出格式,明确角色定位,清晰结构,,A
68,单选, 以下哪项不属于智能体的环境类型？（ ）                                        , 完全可观测                   , 线性可预测                     , 随机性                         , 动态性                         ,               , B    
69,单选, 马尔可夫决策过程（MDP）的核心假设是？（ ）                                  , 历史状态全记录               , 下一状态仅依赖当前状态和动作   , 环境完全确定                   , 需人工干预                     ,               , B    
70,单选,不是语音数据标注工具（    ）。,CIA,Praat,ModelArts,SER,,D
71,单选, 知识表示方法中，框架系统的特点是？（ ）                                      , 仅用于数值计算               ,结构化表示、支持继承和默认值   , 只适合线性推理                 ,无法处理不确定性               ,               , B    
72,单选, AI智能体的核心特征是什么？（ ）                                              , 自主性和学习能力             , 只会执行预设任务               , 无法适应环境变化               , 需要人类持续监控               ,               , A    
73,单选,图像标注的质量好坏取决于（    ）的判定准确性。,标注物,标注员,轮廓线,像素点,,D
74,单选, 以下哪项不是AI智能体在自动驾驶汽车中的应用？（ ）                            , 路径规划                     , 障碍物检测                     , 乘客舒适度调整                 , 交通规则遵守                   ,               , C    
75,单选, AI智能体在处理复杂决策问题时，通常使用哪种方法？（ ）                        , 穷举法                       , 启发式搜索                     , 线性规划                       , 排序算法                       ,               , B    
76,单选,在进行语音标注时，语音数据的发音时间轴需要与（    ）的音标保持同步。,时间限制,截取点,标注区域,图像,,C
77,单选, AI技术的核心是什么？（ ）                                                    , 机器学习                     , 深度学习                       , 神经网络                       , 自然语言处理                   ,               , A    
78,单选, 下列哪个不是AI的主要应用领域？（ ）                                          , 医疗健康                     , 金融服务                       , 教育                           , 传统制造业                     ,               , D    
79,单选, 在AI中，监督学习与非监督学习的主要区别是什么？（ ）                          , 数据量                       , 数据是否带有标签               , 算法复杂度                     , 计算资源需求                   ,               , B    
80,单选, 以下哪个算法不是深度学习算法？（ ）                                          , 卷积神经网络（CNN）          , 循环神经网络（RNN）            , 支持向量机（SVM）              , 长短时记忆网络（LSTM）         ,               , C    
81,单选, 在AI领域，强化学习主要用于解决什么问题？（ ）                                , 图像识别                     , 自然语言处理                   , 决策和控制问题                 , 数据预处理                     ,               , C    
82,单选,人工智能中的“专家系统”是指什么？（ ） ,一种可以模拟人类专家知识的系统,一种可以进行自主学习的系统,一种可以进行复杂推理的系统,一种可以进行图像识别的系统,,A
83,单选,人工智能中的“语音识别”是指什么？（ ） ,让机器能够理解和识别人类的语音,让机器能够进行语音合成,让机器能够进行语音翻译,让机器能够进行自动语音识别,,D
84,单选,机器学习是一种（ ） 。,人工智能技术,数据分析方法,编程语言,机械工程技术,,A
85,单选,在机器学习中，监督学习是指（ ） 。,机器通过观察数据自主学习,机器根据给定的数据和标签进行学习,机器通过交互式学习改进自身性能,机器根据强化学习算法进行学习,,B
86,单选,以下哪项不是机器学习的主要任务？（ ） ,分类,聚类,回归,排序,,D
87,单选,机器学习的一个常见应用是（ ） 。,语音识别,图像处理,自然语言处理,所有上述,,D
88,单选,以下哪项不是机器学习中的评估指标？（ ） ,准确率,精确率,召回率,速度,,D
89,单选,什么是过拟合（Overfitting）？（ ） ,模型在训练集上表现良好，但在测试集上表现差,模型在训练集上表现差，但在测试集上表现良好,模型对新数据的泛化能力强,模型对新数据的泛化能力弱,,A
90,单选,以下哪种算法不属于监督学习算法？（ ） ,决策树,支持向量机,K均值聚类,神经网络,,C
91,单选,（    ）又称用户界面或使用者界面，是人与计算机之间传递、交换信息的媒介和对话接口，是计算机系统的重要组成部分。,显示器画面,人机接口,人机界面,机器界面,,C
92,单选,人机结合面是（    ）中的中心环节。,人机接口,计算机系统,人机系统,交互系统,,C
93,单选,不属于人机交互中的过程的是（    ）。,识别交互对象,理解交互对象,把握对象情态,控制交互对象,,D
94,单选,人机界面设计时，根据终端用户对未来系统的假想设计用户模型，最终使之与系统实现后得到的（    ）相吻合，用户才能对系统感到满意并能有效的使用它。,系统映像,系统内部特征,系统假想,系统规律,,A
95,单选,任务分析中，（    ）技术可把任务不断划分为子任务，直至对每个任务的要求都十分清楚。,面向过程,逐步求精,面向对象,面向任务,,B
96,单选,人机界面设计过程中，创建系统功能的外部模型设计模型不考虑软件的（    ）。,数据结构,总体结构,过程性描述,模型结构,,D
97,单选,人机交互界面的设计要包含用户对系统的理解，称之为（    ），这是为了系统的可用性或者用户友好性。,系统模型,系统假想,心智模型,人机模型,,C
98,单选,（    ）是指人与计算机之间使用某种对话语言，以一定的交互方式，为完成确定任务的人与计算机之间的信息交换过程。,系统界面,人机交互,人机界面,交互设计,,B
99,单选,以下选项不属于人机交互的研究内容（    ）。,可用性分析与评估,多通道交互技术,硬件设备研究,Web设计,,C
100,单选,（    ）是用户与操作系统之间进行数据传递和互动操控的工具，用户可以通过一定的操作实现对电子设备的控制，同时电子设备会将用户操作的结果通过显示屏进行反馈。,人机界面,图形用户界面,图形处理器,图形显示屏,,B
101,单选,图形用户界面主要功能是（    ）。,实现美观的显示界面,为移动设备提供实用界面,实现人与计算机等电子设备的人机交互,评估用户行为,,C
102,单选,以下选项不属于图形用户界面的特点（    ）。,人机交互性,美观性,实用性,维护性,,D
103,单选,用户界面的（    ）主要是指呈现给使用者的通用操作序列、术语和信息的措辞，界面元素的布局、颜色搭配方案和排版样式等都要保持一致。,逻辑性,习惯性,一致性,统一性,,C
104,单选,界面布局应当体现用户操作时的一般顺序和（    ）。,软件颜色顺序,被使用到的频繁程度,软件大小顺序,软件排列顺序,,B
105,单选,以下选项不属于图形用户界面的设计原则（    ）。,界面风格一致性的设计原则,界面布局的逻辑性原则,界面应该复杂多变的设计原则,界面设计应遵循习惯性用法,,C
106,单选,交互设计的（    ）原则表示设计要有充分准确的操作提示。,一致性,反馈性,启发性,可视性,,C
107,单选,交互设计的限制性指在（    ）显示用户操作，以防误操作。,任意页面,特定页面,任意时刻,特定时刻,,D
108,单选,以下选项中不属于交互设计的设计原则的是（    ）。,可视性原则,追求创新,限制原则,映射原则,,B
109,单选,对于一个产品来说，必然有对用户需求的分析内容，更多的是从MRD与PRD获得，或者从（    ）上得到需求分析的内容。,产品日志,产品寿命,产品开发流程,产品需求评审会议,,D
110,单选,交互设计的设计阶段，设计方法采用面向场景，面向事件驱动和（    ）。,面向界面,面向人机,面向对象,面向过程,,C
111,单选,不属于交互设计阶段的是（    ）。,人员招聘阶段,设计阶段,配合开发人员阶段,验证阶段,,A
112,单选,（    ）是交互设计中一个非常普遍的目标，指的是系统能否达到其意图，程度如何。,易记性,能行性,可学性,通用型,,B
113,单选,有效性指的是用户在执行任务时，（    ）是否有效。,用户学习的方式,用户规避风险的方式,系统支持用户的方法,避免发生不快的方式,,C
114,单选,安全性关系到保护用户以避免（    ）的情形。,用户回想起使用方法,用户学习系统过于简单,系统有效支持用户,发生令人不快,,D
115,单选,（    ）目标是交互设计的核心。,有趣性,美观性,可用性,启发性,,C
116,单选,以下选项不是用户体验设计的目标（    ）。,高客户满意度,高净推荐值,高客户费力度,低客户费力度,,C
117,单选,人们不太关心交互系统中的品质（    ）。,有趣,有用,富有启发性,可定制,,D
118,单选,设计原则中，以下选项不属于文化限制（    ）。,用红色表示告警,用某种音频信号代表危险,用笑脸符号代表快乐的表情,磁盘插入磁盘驱动器受到磁盘形状和大小的物理约束,,D
119,单选,设计原则中，（    ）指的是控制及其效果之间的对应关系。,逻辑,关联,映射,反馈,,C
120,单选,不属于Norman (1999)划分的限制类别的是（    ）。,系统限制,物理限制,逻辑限制,文化限制,,A
121,单选, 以下哪个不是评估大语言模型的维度？（ ）                                      , 准确性                       , 流畅性                         , 多样性                         , 色彩饱和度                     ,               , D    
122,单选, 大模型部署时，哪种方法可以降低资源消耗？（ ）                                , 模型量化                     , 增加层数                       , 提高精度                       , 全参数微调                     ,               , A    
123,单选, 大模型训练数据通常来自（ ）。                                                , 互联网公开文本               , 专有数据库                     , 人工标注数据                   , 合成数据                       ,               , A    
124,单选, 以下哪个不是大模型的优势？（ ）                                              , 通用性强                     , 可迁移性好                     , 训练成本低                     , 表现优异                       ,               , C    
125,单选, 在智能体分类中，哪一种类型能够通过经验学习优化行为？（ ）                    , 反应式智能体                 , 基于模型的智能体               , 基于学习的智能体               , 基于知识的智能体               ,               , C    
126,单选,测试报告主要分为（    ）和总结测试报告。,需求测试报告,开发测试报告,版本测试报告,阶段测试报告,,C
127,单选, “Manus AI Agent”属于国内大模型领域的哪个方向？（ ）                          , 开源模型                     , 硬件适配普惠化                 , 多智能体协同                   , 行业大模型定制                 ,               , C    
128,单选, 以下哪种智能体属于“反应型智能体”（Reactive Agent）？（ ）                  , 基于规则系统的火灾报警器     , 具备长期规划的自动驾驶系统     , 能够学习用户习惯的推荐系统     , 支持对话的情感交互机器人       ,               , A    
129,单选, 在智能体环境中，“部分可观测”（Partially Observable）指的是什么？（ ）       , 智能体无法感知任何环境信息   , 智能体只能感知环境的部分信息   , 环境状态完全透明               , 智能体需手动输入环境数据       ,               , B    
130,单选, 强化学习中，“探索-利用困境”（Exploration-Exploitation Dilemma）指什么？（ ）, 智能体必须在已知最优动作和尝试新动作间权衡 , 智能体必须完全依赖历史经验   , 智能体只能随机选择动作         , 环境动态变化导致学习失效       ,               , A    
131,单选, 以下哪种技术常用于多智能体协作？（ ）                                        , 博弈论                       , 线性回归                       , 图像识别                       , 语音合成                       ,               , A    
132,单选, 知识表示（Knowledge Representation）的主要目的是？（ ）                     , 将数据压缩为低维向量         , 以结构化形式存储环境知识，支持推理 , 提高算法计算速度               , 生成随机决策策略               ,               , B    
133,单选, 以下场景中，适合使用“基于目标的智能体”（Goal-Based Agent）的是？（ ）       , 恒温控制器（维持固定温度）   , 扫地机器人（规划路径覆盖全屋） , 自动售货机（根据按钮选择出货） , 电子门禁（刷卡后开门）       ,               , B    
134,单选, 在智能体架构中，“分层控制系统”的特点是？（ ）                              , 所有决策由单一模块完成       , 将任务分解为不同层次（如反应层、规划层） , 完全依赖预编程规则             , 仅适用于静态环境               ,               , B    
135,单选, 哪种学习方法适合动态变化环境中的智能体？（ ）                                , 批量学习（Batch Learning）   , 在线学习（Online Learning）    , 无监督聚类（Unsupervised Clustering） , 支持向量机（SVM）            ,               , B    
136,单选,少样本提示（Few-Shot）与零样本提示的区别是？（ ） ,少样本会给出示例,零样本更依赖格式化输入,少样本不需要输出格式,零样本需要手动标注,,A
137,单选,为什么需要调用Python解释器辅助大模型？（ ） ,让模型生成代码,解决复杂计算问题,减少输出内容,优化文本结构,,B
138,单选,结构化Prompt的优势不包括哪一项？（ ） ,结构清晰、层次分明,唤醒模型深度能力,易于模板化,增加输出噪声,,D
139,单选,以下哪种不是常用的结构化Prompt信息表达方式？（ ） ,随机字符串,Markdown,JSON,HTML,,A
140,单选,结构化Prompt中的“属性词”主要作用是？（ ） ,美化文本,减少输出长度,标识语义结构,增加模型随机性,,C
141,单选,在论文编写流程中，“写大纲”有何意义？（ ） ,减少论文页数,梳理结构，便于后续分步编写,美化论文排版,提高模型运算速度,,B
142,单选,“逐个击破”在任务分解中的正确理解是？（ ） ,只关注开头部分,只写结论部分,忽略大纲内容,按大纲逐步完成各章节,,D
143,单选,结构化Prompt通常通过什么来标识层级结构？（ ） ,字体颜色,标识符（如#、<>）,段落缩进,内容长度,,B
144,单选,测试环境分为硬件环境，软件版本，（    ）。,开发环境,需求报告,CPU型号,系统拓扑图,,D
145,单选,大语言模型可以用于以下哪一项？（ ） ,天气实时监测,自动文本生成,硬件层面信号放大,物理传感器制冷,,B
146,单选,下列哪项是大模型在教育领域的常见用途？（ ） ,校园安防巡逻,制造实验器材,智能批改作业,运动器材研发,,C
147,单选,大模型在医疗领域的应用主要包括？（ ） ,物理治疗操作,医疗器械制造,制药工艺改良,生成医学报告,,D
148,单选,大模型在客服场景中最常见的用途是？（ ） ,升级硬件设备,监控网络安全,自动应答用户问题,发放福利物资,,C
149,单选,大模型能够为企业提供哪方面的帮助？,机械臂控制,数据分析与决策支持,厂房建设图纸设计,物理仓库搬运,,B
150,单选,下列哪项不是大模型的常见用途？,语音识别,农作物生长实地灌溉,自然语言理解,自动驾驶决策,,B
151,单选,以下选项不属于产生多种数据采集方式与处理方式的原因的是（    ）。,数据来源丰富,数据质量要求高,存储与分析的数据量大,数据具有保密性,,D
152,单选,在对一些实时数据进行处理时，可使用（    ）技术下的交互式数据分析系统完成。,批处理,流处理,线下采集,线上采集,,A
153,单选,目前日志数据采集系统不常用的是（    ）。,采集技术,数据分析技术,数据采集系统架构,流式处理,,D
154,单选,以下选项不属于标准化的方法的是（    ）。,离差标准化,标准差标准化,函数变换,等宽法,,D
155,单选,在对数据进行标准化时，需要考虑数据特征，因为不同特征之间往往具有不同的（    ），会造成数值间分布差异较大。,分布,量纲,单位,标准,,B
156,单选,不常见的数据变换方法是以下（    ）。,标准化,离散化,函数转换,独热编码,,C
157,单选,数据预处理方法不包括（    ）。,数据清洗,数据合并,数据标注,数据变换,,C
158,单选,数据清洗是指对可能存在异常的数据进行（    ）和处理。,标注,检测,标准化,离散化,,B
159,单选,数据预处理方法不包括以下（    ）。,数据建模,数据清洗,数据合并,数据变换,,A
160,单选,缺失值的常见处理方法不包括（    ）。,删除,数据插补,数据变换,数据标注,,D
161,单选,异常值是指样本中的个别值，其数值明显偏离所属样本的（    ）。,观测值,测量值,重复值,更新值,,A
162,单选,属于数据清洗的步骤（    ）。,删除原始数据中无关数据,删除原始数据中重复数据,平滑噪声数据,以上都是,,D
163,单选,当进行数据预处理时有些数据值是被遗漏的，那么应该采用（    ）方法。,删除,数据插补,数据变化,数据标注,,B
164,单选,牛顿插值法也被称为（    ）。,拉格朗日插值,多项式插值,平均数插值,中位数插值,,B
165,单选,以下选项是常用的数据插补方法（    ）。,均值/中位数/众数插补,使用固定值,最近临插补,以上都是,,D
