序号,题型,题干,答案选项A,答案选项B,答案选项C,答案选项D,试题（选项E）,正确答案
166,单选,如果训练过程中所使用的数据集存在大量（    ），将会导致机器学习训练不充分。,噪声,维度,数据量,字段,,A
167,单选,在质量检验阶段，参与质量检验的人员包括（    ）。,前台员工,技术工人,质量检验员,企业行政人员,,C
168,单选,（    ）是图像标注的常用方法，需要对标注物最边缘像素点进行判断。,标框标注,区域标注,数字标注,算法标注,,A
169,单选,图像标注的本质是（    ）到语言表示化的过程。,色彩,空间,视觉,文件,,C
170,单选,图像标注方法包括（    ）。,标框标注,多媒体标注,空间坐标标注,时间戳标注,,A
171,单选,在语音标注的质量检验中，质检员时刻关注（    ）发音的时间轴与标注区域的音标是否相符。,文本数据,语音数据,图像数据,多媒体数据,,B
172,单选,语音标注是标注员不断对语音信息进行（    ）。,翻译,分割,瞄点,合并,,A
173,单选,不是语音标注需要了解的常规操作是（    ）。,采样,合并,采样精度,声道,,B
174,单选,Labellmg图像标注工具是一个使用（    ）开发的开源工具。,Java,C++,C,Python,,D
175,单选,在labelme工具中，以下快捷键是指打开图像文件（    ）。,Ctrl+O,Ctrl+U,Ctrl+I,Ctrl+S,,A
176,单选,数据标注行业注重以下方面（    ）。,高效,快捷,简单,实时,,A
177,单选,下列选项没有使用数据标注辅助工具的是（    ）。,语音标注时借助语音转文本工具,在做OCR手写体识别时，借助OCR识别工具,使用Python编写初检小程序避免低级错误,使用Matlab神经网络工具箱构造模型,,D
178,单选,数据标注就是使用计算机，按照（    ）的执行规范对各种各样的原始数据进行标注。,数据标注员,项目负责人,客户,采集人员,,C
179,单选,以下选项不属于细胞标注的规则（    ）。,为每个细胞添加标签,处理图片边缘的细胞体,叠加的细胞一定要分清每个细胞的轮廓,细胞叠加时只需要标注一个,,D
180,单选,（    ）可采用方差选择法进行特征选择。,子集搜索与评价,过滤式选择,包裹式选择,嵌入式选择,,B
181,单选,训练误差中求平方损失参数，就是对所有样本的误差求（    ）。,均值,方差,标准差,平方和,,D
182,单选,训练误差损失函数的期望是模型关于（    ）的期望损失。,条件分布,边缘分布,联合分布,概率分布,,C
183,单选,关于数据分析训练误差以下说法错误的是（    ）。,统计学习方法采用的训练误差评估和损失函数必须完全相同,训练误差评估和损失函数一致时有利于模型的改进,模型优化目标函数是使全局损失函数最小,损失函数反映了模型预测结果与实际结果之间的差距,,A
184,单选,K折交叉验证将数据切分为k个互不相交的大小相同数据集，用（    ）个子集训练。,k,k-1,k-2,1,,B
185,单选,k折交叉验证中，一些验证表明，当k取（    ）时，在计算代价和性能之间能达到好的平衡。,5,10,50,100,,B
186,单选,K折交叉验证的用途有（    ）。,模型评估,模型训练,算法选择,模型预测,,A
187,单选,（    ）在概率论和统计学中用于衡量两个变量的总体误差。,众数,平均值,极值,协方差,,D
188,单选,如果两个变量a，b，（    ）那么两个变量之间的协方差就是负值。,其中a大于自身的期望值,其中b等于自身的期望值,其中b大于自身的期望值,其中a等于自身的期望值,,A
189,单选,标准误差，如果误差统计分布是正态分布，那么随机误差落在±σ以内的概率为（    ）。,50%,68%,100%,25%,,B
190,单选,下面关于标准误差说法错误的是（    ）。,标准误差是预测值与真实值偏差的平方与观测次数n比值的平方根,标准误差能够很好地反映出测量的精密度,标准误差能反映一个数据集的离散程度,平均数相同的，标准差也相同,,D
191,单选,参数估计中估计量的含义是指（    ）。,"用来估计总体参数的统计量的名称

",用来估计总体参数的统计量的具体数值,总体参数的名称,总体参数的具体取值,,A
192,单选,在参数估计中，要求通过样本的统计量来估计总体参数，评价统计量的标准之一是使它与总体参数的离差越小越好。这种评价标准称为（    ）。,无偏性,有效性,一致性,充分性,,B
193,单选,以下不属于参数估计方法的是（    ）。,贝叶斯估计,最小二乘法,极大似然估计,角估计,,D
194,单选,线性回归是一种通过（    ）自变量与因变量之间最佳线性关系，来预测目标变量的方法。,对比,估计,解释,拟合,,D
195,单选,多元线性回归使用（    ）变量，通过拟合最佳线性关系来预测因变量。,单个,多个相关,多个独立,两个相关,,C
196,单选,多元回归的评价指标不包括（    ）。,非标准化系数,标准化系数,R^2,t检验及其显著性水平（sig）,,C
197,单选,逻辑回归主要解决（    ）问题。,分类,聚类,优化,评价,,A
198,单选,逻辑回归是用概率的方式，预测出属于某一分类的概率值，如果概率值超过（    ），则属于某一分类。,40%,50%,60%,75%,,B
199,单选,下面关于逻辑回归的说法错误的是（    ）。,逻辑回归是一种预测分析,逻辑回归主要解决聚类问题,逻辑回归和线性回归的不同之处是它的目标变量有多个类别,逻辑回归是用概率的方式预测出属于某一分类的概率值,,B
200,单选,以下为统计分析中最常用的方法是（    ）。,对比分析法,分组分析法,预测分析法,漏斗分析法,,A
201,单选,对比分析法通过指标的对比来反应事物（    ）上的差异和变化。,数量,质量,比重,容量,,A
202,单选,对比分析法不能对（    ）做出判断和评价。,规模大小,水平高低,速度快慢,未来数据,,D
203,单选,数据分析法中，（    ）按照多个维度将数据拆分为各种组合，并比较各组合之间的差异。,对比分析法,分组分析法,漏斗分析法,AB测试分析法,,B
204,单选,新书上市销售时，如果要对比各个销售渠道在10月份的销量，应该采用（    ）。,对比分析法,分组分析法,漏斗分析法,预测分析法,,A
205,单选,分组分析法中，组就是根据研究的目的和客观现象的内在特点，按某个标志或几个标志把被研究的总体划分为若干个不同性质的组，使（    ）。,组内的关系相同,组间的差异尽可能大,组内的差异尽可能大,组间的差异尽可能小,,B
206,单选,预测分析法主要用于未知数据的判断和（    ）。,对比,测试,预测,转化,,C
207,单选,某产品依据过往三年的历史销售数据，想要分析出未来六个月的销售额，最合适的数据分析法是（    ）。,对比分析法,AB测试分析法,分组分析法,预测分析法,,D
208,单选,以下属于预测分析法中的回归预测的是（    ）。,逻辑回归,线性回归,k均值,关联规则,,B
209,单选,漏斗分析法能够科学反映的用户行为状态，以及观察出从行为起点到终点中各阶段用户的（    ）情况。,转化率,存活率,使用率,安装率,,A
210,单选,假如有100人访问某电商网站，有30人点击注册，有10人注册成功。整个过程的转化率为（    ）。,30%,33.30%,10%,40%,,C
211,单选,不属于常见的数据标注类型（    ）。,文本标注,音频标注,图像标注,视频标注,,B
212,单选, 以下关于反应型智能体（Reactive Agent）的描述正确的是：（ ）                  , 具有长期规划和目标驱动能力   , 依赖预定义的规则进行即时响应   , 可以在复杂环境中进行长时间决策 , 具备自主学习和推理能力         ,               , B    
213,单选, 下列关于“智能体发展四个阶段”的描述，哪一项是错误的？（ ）                   , 起源阶段主要依赖于简单逻辑推理 , 规则驱动阶段着重于专家系统的开发 , 学习为核心阶段依赖深度学习与强化学习的突破 , 现代阶段主要基于简单的符号操作和逻辑推理 ,               , D    
214,单选, 在智能体决策模型中，哪种模型不需要动态调整策略？（ ）                        , 基于规则的决策模型           , 基于规划的决策模型             , 基于学习的决策模型             , 基于模仿的决策模型             ,               , A    
215,单选, 在多模态感知中，特征层融合的主要优势是？（ ）                                , 保留所有原始数据细节         , 实现数据的时间和空间对齐       , 提供紧凑且高效的信息表达       , 降低数据的处理复杂度           ,               , C    
216,单选, OpenAI API 的主要用途不包括以下哪一项？（ ）                                , 进行自然语言生成             , 训练全新的大型语言模型         , 处理文本分类任务               , 提供智能对话服务               ,               , B    
217,单选, 在使用OpenAI API时，如何确保API密钥的安全性？（ ）                           , 将密钥硬编码到源代码中       , 将密钥存储在环境变量中         , 在GitHub上公开密钥             , 将密钥放入明文配置文件中       ,               , B    
218,单选, 智能体的核心特征不包括以下哪一项？（ ）                                      , 自主性                       , 感知能力                       , 记忆能力                       , 外部控制依赖性                 ,               , D    
219,单选, 以下哪项是多智能体系统（MAS）的核心要素？（ ）                              , 单一控制单元                 , 分布式决策机制                 , 静态任务分配                   , 独立感知但不交互               ,               , B    
220,单选, 在实体门店智慧营销助手中，以下哪一项不属于其核心功能？（ ）                   , 平台数据集成与分析           , 智能推荐和实时操作指导         , 线上促销活动设计               , 资源规划和分配                 ,               , C    
221,单选,常用的数据标注工具的标注结果导出格式不包括（    ）。,CSV,XML,JSON,DAT,,D
222,单选, 智能体的核心特征是什么？（ ）                                                , 自主性                       , 固定程序                       , 单一任务执行                   , 无需交互                       ,               , A    
223,单选, 哪种学习算法最适合动态环境中的智能体？（ ）                                  , 监督学习                     , 强化学习                       , 无监督学习                     , 迁移学习                       ,               , B    
224,单选, 以下哪项是智能体的典型应用？（ ）                                            , 电子表格                     , 自动驾驶汽车                   , 计算器                         , 机械钟表                       ,               , B    
225,单选, 知识图谱主要用于解决智能体的哪种需求？（ ）                                  , 数据存储                     , 语义推理                       , 硬件控制                       , 能量优化                       ,               , B    
226,单选, 以下哪个不是当前主流的大语言模型？（ ）                                      , GPT-4                        , BERT                           , ResNet                         , LLaMA                          ,               , C    
227,单选, 以下哪种注意力机制不是Transformer的标准组成部分？（ ）                       , 自注意力                     , 交叉注意力                     , 多头注意力                     , 卷积注意力                     ,               , D    
228,单选, GPT中的"P"代表什么？（ ）                                                    , Pre-trained                  , Programmed                     , Parallel                       , Predictive                     ,               , A    
229,单选, 大模型训练中常见的并行策略不包括（ ）。                                 , 数据并行                     , 模型并行                       , 流水线并行                     , 时间并行                       ,               , D    
230,单选, 以下哪种技术不是用于减少大模型计算开销的？（ ）                              , 知识蒸馏                     , 量化                           , 剪枝                           , 数据增强                       ,               , D    
231,单选, 以下哪个不是大模型的潜在风险？（ ）                                          , 偏见放大                     , 幻觉生成                       , 计算效率过高                   , 隐私泄露                       ,               , C    
232,单选, RLHF(人类反馈强化学习)主要用于（ ）。                               , 提高模型与人类偏好的对齐     , 加速模型训练                   , 减少模型参数                   , 增强模型视觉能力               ,               , A    
233,单选, 哪种方法不是大模型微调的常见方法？（ ）                                      , 全参数微调                   , 提示微调                       , 适配器微调                     , 卷积微调                       ,               , D    
234,单选, 大模型训练中常用的损失函数是：（ ）                                          , 交叉熵损失                   , 均方误差                       , 对比损失                       , 中心损失                       ,               , A    
235,单选, 大模型训练中常见的硬件是：（ ）                                              , CPU                          , GPU                            , TPU                            , FPGA                           ,               , B    
236,单选, 以下哪种技术可以提高大模型的推理速度？（ ）                                  , 量化                         , 数据增强                       , 正则化                         , 早停                           ,               , A    
237,单选, 大模型中的"涌现能力"指的是：（ ）                                            , 参数量达到阈值后出现的新能力 , 模型自我进化的能力             , 硬件加速带来的性能提升         , 数据增强产生的效果             ,               , A    
238,单选, 以下哪个不是大模型的典型应用场景？（ ）                                      , 机器翻译                     , 图像分类                       , 代码生成                       , 文本摘要                       ,               , B    
239,单选, 以下哪种方法不能缓解大模型的幻觉问题？（ ）                                  , 事实核查                     , 提示工程                       , 增加参数量                     , 知识增强                       ,               , C    
240,单选,测试计划不能描述测试活动（    ）的文档。,范围,方法,费用,进度,,C
241,单选,在Coze平台，Agent的“意图”主要用于？（ ） ,美化界面,定义Agent响应用户需求,统计访问量,增强安全性,,B
242,单选,下列哪项不是Coze Agent的常见应用场景？（ ） ,智能客服,内容审核,图像识别硬件驱动,智能助手,,C
243,单选,版本测试报告中的内容不包括（    ）。,测试用例设计与执行,风险分析,缺陷概况,问题概要,,B
244,单选,测试集准备只是随机的选取测试数据，容易造成测试结果的失真，降低算法模型评估结果的可靠性。这是因为忽略了测试的（    ）。,独立性,覆盖度,准确性,复杂性,,B
245,单选,Agent面向不同渠道发布时，Coze平台需要做的关键操作是？（ ） ,手动复制内容,配置渠道对接,关闭对话框,更改数据格式,,B
246,单选,在Coze平台，Agent的“技能”主要指？（ ） ,对话风格,可用的插件和任务能力,头像样式,推荐算法,,B
247,单选,Coze平台Agent支持自定义输入输出格式，需在何处设置？（ ） ,外观设置,流程配置,技能管理,渠道中心,,B
248,单选,如果希望让Agent具备“知识库问答”能力，应在Coze平台做什么？（ ） ,上传知识文档并开启知识库插件,修改对话字体,仅更换模型,导出对话记录,,A
249,单选,在Coze平台上搭建Agent时，最常用的入口是？（ ） ,自助问答,工作台,插件市场,数据大屏,,B
250,单选,Coze平台创建新Agent时，第一步通常需要？（ ） ,选择Agent模板,上传插件,添加API密钥,绑定钉钉,,A
251,单选,结构化Prompt中的“标识符”作用是？（ ） ,调整模型参数,美化文本,明确内容层级和结构,限制输出长度,,C
252,单选,结构化Prompt的优势之一是？（ ） ,内容随机化,增加模型困惑,输出结构清晰、便于理解,减少模型能力,,C
253,单选,用结构化Prompt可以带来的效果不包括？（ ） ,提升输出一致性,促进多轮对话,便于模板化开发,增加模型混乱,,D
254,单选,自动生成结构化Prompt的常用方式是？（ ） ,只复制粘贴已有内容,人工随机排列内容,让模型自行发挥,利用专用Prompt自动优化,,D
255,单选,为什么建议任务分解时“总结收尾”？（ ） ,让输出更随意,归纳提升整体完成度,增加输出长度,降低内容可读性,,B
256,单选,多轮对话的设计有助于？（ ） ,美化界面,增加模型困惑,让模型输出更短内容,对齐双方沟通频道、聚焦领域,,D
257,单选,结构化Prompt适合采用哪种表达方式？（ ） ,简短口语,Json或Markdown格式,随机排列,无结构文本,,B
258,单选,用来读取不同文本文件中的数据，大多是符合约定格式的TXT文件的组件名称为（    ）。,文本文件输入,表输入,CSV文件输入,XML输入,,A
259,单选,生成行组件输出一定数量的（    ），默认为空，以下选项是正确的。,列,字段,数字,行,,D
260,单选,计算器组件对数值型字段数据进行加减乘除等简单运算，以及（    ）等方面的运算，以下选项不正确的。,三角函数,开方,布尔,对数,,C
261,单选,以下选项中，不属于ETL任务执行的主要内容的为（    ）。,任务流程的依赖关系,调度算法和策略,对成功或失败的信息发出提示,仅对成功的信息发出提示,,D
262,单选,在ETL中，任务的调度算法采取（    ）的策略进行任务调度，以下选项是正确的。,信息抽取,条件驱动,数据转换,数据加工,,B
263,单选,ETL是通过建立（    ）进行数据整合和处理的，以下选项不正确的。,任务流程,设置时间调度,调用相应的转换任务,任务依赖关系,,D
264,单选,在数据预处理过程中，对缺失值的处理方法不正确的是（    ）。,删除当前字段,同类均值插补,极大似然估计,均值插补,,A
265,单选,数据的属性可以是（    ）或定量的数据。,定性,定价,规定,处理,,A
266,单选,删除含有缺失值的记录的方法（    ）。,简单删除法,加和法,平均法,乘积法,,A
267,单选,噪声数据处理过程中，（    ）是通过考察数据的周围值来光滑有序的数据值。,分箱,回归,离群点分析,函数拟合,,A
268,单选,分箱是指通过考察数据的“近邻”来光滑（    ）的数据值。,无序,语序,有序,有效,,C
269,单选,噪声是被测量变量的（    ），可以使用基本的数据统计描述技术和数据可视化方法来识别可能代表噪声的离群点。,随机误差,错误,众数,标准差,,A
270,单选,数据变换是将数据从一种表示形式变换为适用于（    ）的另一种形式的过程。,数据挖掘,数据泛化,数据规范,数据提取,,A
271,单选,对于数据变换包含内容，以下选项描述不正确的（    ）。,数据平滑,数据聚集,数据泛化,数据采集,,D
272,单选,剪枝是决策树学习算法对付（    ）的主要手段。,过拟合,欠拟合,噪声,缺失值,,A
273,单选,（    ）是指在决策树生成过程中，对每个结点在划分前先进行估计，若当前结点的划分不能带来决策树泛化性能提升，则停止划分并将当前结点标记为叶结点。,回归,预剪枝,聚类,后剪枝,,B
274,单选,预剪枝使得决策树很多分支没有展开，这不仅降低了过拟合风险，还显著减少了决策树的（    ）开销。,划分时间,归类时间,训练时间,抽样时间,,C
275,单选,以下选项不属于大数据技术设计的特征的是（    ）。,负载均衡,分散处理,副本存储,结构复杂,,D
276,单选,数据采集系统通常包括数据生成、（    ）、数据处理、数据存储四个部分。,数据开发,数据分析,数据采集,数据建模,,C
277,单选,数据采集又称数据抽取，分为（    ）抽取和增量抽取。,部分,筛选,偏好,全量,,D
278,单选,劳动合同的下列条款中，不属于劳动法规定的必备条款是（    ）。,劳动报酬,劳动保护,劳动合同期限,试用期条款,,D
279,单选,公司安排员工春节期间上班，根据劳动法，该公司方法其不低于原工资报酬的（    ）。,150%,200%,300%,400%,,C
280,单选,以下选项不属于劳动者的权利（    ）。,专利分享的权利,取得劳动薪酬的权利,享有社会保险的福利的权利,提请劳动争议处理的权利,,A
281,单选,网络运营者应为（    ）、国家安全机关依法维护国家安全和侦察犯罪的活动提供技术支持和协助。,公安机关,网信部门,工信部门,检察院,,A
282,单选,为了保障（    ），维护网络空间主权和国家安全、社会公共利益，保护公民，法人和其他组织的合法权益，促进经济社会信息化健康发展，制定《中华人民共和国网络安全法测试》。,网络自由,网络速度,网络安全,网络信息,,C
283,单选,国家支持网络运营者之间在网络安全信息不在以下（    ）方面进行合作，提高网络运营者的安全保障能力。,分析,机密,应急处置,收集,,B
284,单选,软件著作权人，是指依照条例的，对软件享有（    ）的自然人、法人或者其他组织。,著作权,修改权,管理权,开发权,,A
285,单选,依据《计算机软件保护条例》，对软件的保护包括以下选项（    ）。,计算机程序，但不包括用户手册等文档,计算机程序及其设计方法,计算机程序及其文档，但不包括开发该软件所用的思想,计算机源程序，但不包括目标程序,,C
286,单选,依据《计算机软件保护条例》，软件著作人享有的权利不包含（    ）。,发表权,复制权,修改权,占用权,,D
287,单选,以下选项关于从事国际联网经营活动的接入单位条件不正确的是（    ）。,依法设立企业法人,具有健全的安全保密制度,符合法律和国务院规定,自行使用其他信道进行国际联网,,D
288,单选,接入网络，是指通过接入互联网络进行国际联网的计算机信息网络，接入网络可以是（    ）联接的网络。,单级,多级,跨组织,跨部门,,B
289,单选,互联网可行性报告的主要内容不包括（    ）。,网络服务性质和范围,网络技术方案,网络完全规则,管理办法,,C
290,单选, 下列哪个不是AI伦理问题？（ ）                                                , 数据隐私                     , 算法偏见                       , 机器取代人类工作               , 软件兼容性                     ,               , D    
291,单选, AI技术在以下哪个领域应用最广泛？（ ）                                        , 艺术创作                     , 游戏开发                       , 无人驾驶                       , 农业种植                       ,               , C    
292,单选, 以下哪个是AI技术中的一个关键挑战？（ ）                                      , 数据存储                     , 数据安全                       , 数据解释性                     , 数据传输速度                   ,               , C    
293,单选, 以下哪一项不属于人工智能伦理的基本原则？（ ）                               , 公平性                       , 责任性                         , 透明性                         , 性能最优性                     ,               , D    
294,单选,数据标注的基本流程不包含（    ）。,数据采集,数据清洗,数据分析,数据标注,,C
295,单选,（    ）是整个数据采集标注基本流程的首要环节。,数据标注,数据采集,数据清洗,数据分类,,B
296,单选,数据清洗时应对数据集中存在的（    ）进行查漏补缺，同时平滑数据，最大程度纠正数据的不一致性和不完整性。,异常值,重复值,新增值,覆盖值,,A
297,单选,在数据标注运行模式中，以下选项是负责提出需求（    ）。,项目负责人,客户端,需求端,标注端,,A
298,单选,数据标注的运行模式不包含（    ）。,需求端,项目负责人,标注端,客户端,,D
299,单选,下列选项中，不属于数据标注的特点的是（    ）。,数据标注的内容颗粒度小,数据标注需求不统一,数据标注需求迭代快,数据标注需求的量大,,B
300,单选,数据标注员要及时调整数据标注规则，尤其是（    ）要经常同数据需求方沟通。,项目开发人员,标注端,项目管理人员,需求端,,C
301,多选,下列对职业道德的表述不正确的是（    ）。, 职业道德是在职业活动中调节人与人之间关系的特殊行为规范,职业道德是主观思考的产物，没有客观依据,每个人都有各自的职业道德观念，以共同的职业道德规范要求他人是不正确的, 职业道德同法律一样，必须在外在规范的约束下才能发挥作用,职业道德与市场规范相违背，不利于市场的发展,BCDE
302,多选,所谓职业道德，是指人们以（    ）善恶进行评价的总和。,心理意识,行为原则,行为规范,礼仪规范,语言规范,ABC
303,多选,办事公道是指职工在进行职业活动时要做到（    ），下列表述不正确的是。,追求真理，坚持原则,有求必应，助人为乐,公私不分，一切平等,知人善任，提拔知己,拉帮结派，打压员工,BCDE
304,多选,下列说法中，隐含敬业思想的有（    ）。,鞠躬尽瘁，死而后已, 戏比天大,业精于勤荒嬉，形成于思毁于随,百事之成也，必在敬之；其败也，必在慢之,采得百花成蜜后，为谁辛苦为谁甜,ABCDE
305,多选,职业良心是人们对他人、对社会履行义务时表现出的―种职业道德情感，从业人员在职业活动中的职业良心主要表现在（    ），以下选项是正确的。,对工作的负责精神,对自己的宽恕感,对社会的责任感,对自己职业行为的是非感,对企业形象维护的自觉感,ACD
306,多选,法律的主要特征有（    ）。,制定法律的机关的最高权威性,任何时代、任何国家的法律总是体现统治阶段的意志的,法律是调整人们行为的一种行为规范，通过对人们行为的调整来实现对社会关系的调整,法律的约束性是最广泛、最普遍的,法律是以国家强制力保证实施的规范，是运用法律规范来调整社会关系和维护社会秩序,ABCDE
307,多选,生产经营单位与从业人员订立劳动合同应载明有关的事项包括（    ）。,保障从业人员劳动安全,防止职业危害的事项,为从业人员办理工伤保险,免责条款,伤害量化平均条款,ABC
308,多选,下列对于诚实守信说法正确的是（    ）。,诚实守信就是要重承诺，信守诺言，忠实地履行自己应承担的义务, 诚实守信是市场经济的内在法则,诚实守信要敢于讲真话，坚持真理,诚实守信与市场经济的根本目的相矛盾,诚实守信不符合市场经营潜规则要求,ABC
309,多选,弘扬工匠精神，社会层面的主要政策应包括（    ）。, 弘扬工匠精神，营造社会氛围,建设以工匠精神为核心的社会文化,发扬工匠精神，塑造国民素质,提高工匠的职业尊严和社会地位,以金钱驱动提高行业人员的工作积极性,ABCD
310,多选,用于ETL数据整合的工具有很多，以下选项属于主流工具的是（    ）。,DataPipeline,Kettle,Oracle Goldengate,Anaconda,Informatica,ABC
311,多选,计算机操作系统通道可以完成（    ）之间的数据传输。,外设,内存,CPU,主存,编译器,AB
312,多选,本地计算机被感染病毒的途径可能是以下方式（    ）。,使用软盘,软盘表面受损,机房电源不稳定,上网,共用外设,ADE
313,多选,ORACLE数据库物理结构包括（    ）。,数据文件,日志文件,控制文件,临时文件,冗余文件,ABC
